symptom_text,condition
itching skin rash nodal skin eruptions dischromic patches,Fungal infection
skin rash nodal skin eruptions dischromic patches,Fungal infection
itching nodal skin eruptions dischromic patches,Fungal infection
itching skin rash dischromic patches,Fungal infection
itching skin rash nodal skin eruptions,Fungal infection
continuous sneezing shivering chills watering from eyes,Allergy
shivering chills watering from eyes,Allergy
continuous sneezing chills watering from eyes,Allergy
continuous sneezing shivering watering from eyes,Allergy
continuous sneezing shivering chills,Allergy
stomach pain acidity ulcers on tongue vomiting cough chest pain,GERD
stomach pain ulcers on tongue vomiting cough chest pain,GERD
stomach pain acidity vomiting cough chest pain,GERD
stomach pain acidity ulcers on tongue cough chest pain,GERD
stomach pain acidity ulcers on tongue vomiting chest pain,GERD
stomach pain acidity ulcers on tongue vomiting cough,GERD
acidity ulcers on tongue vomiting cough chest pain,GERD
itching vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,Chronic cholestasis
vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,Chronic cholestasis
itching yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,Chronic cholestasis
itching vomiting nausea loss of appetite abdominal pain yellowing of eyes,Chronic cholestasis
itching vomiting yellowish skin loss of appetite abdominal pain yellowing of eyes,Chronic cholestasis
itching vomiting yellowish skin nausea abdominal pain yellowing of eyes,Chronic cholestasis
itching vomiting yellowish skin nausea loss of appetite yellowing of eyes,Chronic cholestasis
itching vomiting yellowish skin nausea loss of appetite abdominal pain,Chronic cholestasis
itching skin rash stomach pain burning micturition spotting urination,Drug Reaction
itching stomach pain burning micturition spotting urination,Drug Reaction
itching skin rash burning micturition spotting urination,Drug Reaction
itching skin rash stomach pain spotting urination,Drug Reaction
itching skin rash stomach pain burning micturition,Drug Reaction
skin rash stomach pain burning micturition spotting urination,Drug Reaction
vomiting loss of appetite abdominal pain passage of gases internal itching,Peptic ulcer diseae
vomiting indigestion abdominal pain passage of gases internal itching,Peptic ulcer diseae
indigestion loss of appetite abdominal pain passage of gases internal itching,Peptic ulcer diseae
vomiting indigestion loss of appetite passage of gases internal itching,Peptic ulcer diseae
vomiting indigestion loss of appetite abdominal pain internal itching,Peptic ulcer diseae
vomiting indigestion loss of appetite abdominal pain passage of gases,Peptic ulcer diseae
vomiting indigestion loss of appetite abdominal pain passage of gases internal itching,Peptic ulcer diseae
muscle wasting patches in throat high fever extra marital contacts,AIDS
patches in throat high fever extra marital contacts,AIDS
muscle wasting high fever extra marital contacts,AIDS
muscle wasting patches in throat extra marital contacts,AIDS
muscle wasting patches in throat high fever,AIDS
fatigue weight loss restlessness lethargy irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria,Diabetes
weight loss restlessness lethargy irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria,Diabetes
fatigue restlessness lethargy irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria,Diabetes
fatigue weight loss lethargy irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria,Diabetes
fatigue weight loss restlessness irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria,Diabetes
fatigue weight loss restlessness lethargy blurred and distorted vision obesity excessive hunger increased appetite polyuria,Diabetes
fatigue weight loss restlessness lethargy irregular sugar level obesity excessive hunger increased appetite polyuria,Diabetes
fatigue weight loss restlessness lethargy irregular sugar level blurred and distorted vision excessive hunger increased appetite polyuria,Diabetes
fatigue weight loss restlessness lethargy irregular sugar level blurred and distorted vision obesity increased appetite polyuria,Diabetes
vomiting sunken eyes dehydration diarrhoea,Gastroenteritis
sunken eyes dehydration diarrhoea,Gastroenteritis
vomiting dehydration diarrhoea,Gastroenteritis
vomiting sunken eyes diarrhoea,Gastroenteritis
vomiting sunken eyes dehydration,Gastroenteritis
fatigue cough high fever breathlessness family history mucoid sputum,Bronchial Asthma
cough high fever breathlessness family history mucoid sputum,Bronchial Asthma
fatigue high fever breathlessness family history mucoid sputum,Bronchial Asthma
fatigue cough breathlessness family history mucoid sputum,Bronchial Asthma
fatigue cough high fever family history mucoid sputum,Bronchial Asthma
fatigue cough high fever breathlessness mucoid sputum,Bronchial Asthma
fatigue cough high fever breathlessness family history,Bronchial Asthma
headache chest pain dizziness loss of balance lack of concentration,Hypertension
chest pain dizziness loss of balance lack of concentration,Hypertension
headache dizziness loss of balance lack of concentration,Hypertension
headache chest pain loss of balance lack of concentration,Hypertension
headache chest pain dizziness lack of concentration,Hypertension
headache chest pain dizziness loss of balance,Hypertension
acidity indigestion headache blurred and distorted vision excessive hunger stiff neck depression irritability visual disturbances,Migraine
indigestion headache blurred and distorted vision excessive hunger stiff neck depression irritability visual disturbances,Migraine
acidity headache blurred and distorted vision excessive hunger stiff neck depression irritability visual disturbances,Migraine
acidity indigestion blurred and distorted vision excessive hunger stiff neck depression irritability visual disturbances,Migraine
acidity indigestion headache excessive hunger stiff neck depression irritability visual disturbances,Migraine
acidity indigestion headache blurred and distorted vision stiff neck depression irritability visual disturbances,Migraine
acidity indigestion headache blurred and distorted vision excessive hunger depression irritability visual disturbances,Migraine
acidity indigestion headache blurred and distorted vision excessive hunger stiff neck irritability visual disturbances,Migraine
acidity indigestion headache blurred and distorted vision excessive hunger stiff neck depression visual disturbances,Migraine
acidity indigestion headache blurred and distorted vision excessive hunger stiff neck depression irritability,Migraine
back pain weakness in limbs neck pain dizziness loss of balance,Cervical spondylosis
weakness in limbs neck pain dizziness loss of balance,Cervical spondylosis
back pain neck pain dizziness loss of balance,Cervical spondylosis
back pain weakness in limbs dizziness loss of balance,Cervical spondylosis
back pain weakness in limbs neck pain loss of balance,Cervical spondylosis
back pain weakness in limbs neck pain dizziness,Cervical spondylosis
vomiting headache weakness of one body side altered sensorium,Paralysis (brain hemorrhage)
headache weakness of one body side altered sensorium,Paralysis (brain hemorrhage)
vomiting weakness of one body side altered sensorium,Paralysis (brain hemorrhage)
vomiting headache altered sensorium,Paralysis (brain hemorrhage)
vomiting headache weakness of one body side,Paralysis (brain hemorrhage)
itching vomiting fatigue weight loss high fever yellowish skin dark urine abdominal pain,Jaundice
vomiting fatigue weight loss high fever yellowish skin dark urine abdominal pain,Jaundice
itching fatigue weight loss high fever yellowish skin dark urine abdominal pain,Jaundice
itching vomiting weight loss high fever yellowish skin dark urine abdominal pain,Jaundice
itching vomiting fatigue high fever yellowish skin dark urine abdominal pain,Jaundice
itching vomiting fatigue weight loss yellowish skin dark urine abdominal pain,Jaundice
itching vomiting fatigue weight loss high fever dark urine abdominal pain,Jaundice
itching vomiting fatigue weight loss high fever yellowish skin abdominal pain,Jaundice
itching vomiting fatigue weight loss high fever yellowish skin dark urine,Jaundice
chills vomiting high fever sweating headache nausea muscle pain,Malaria
chills vomiting high fever sweating headache nausea diarrhoea muscle pain,Malaria
vomiting high fever sweating headache nausea diarrhoea muscle pain,Malaria
chills high fever sweating headache nausea diarrhoea muscle pain,Malaria
chills vomiting sweating headache nausea diarrhoea muscle pain,Malaria
chills vomiting high fever headache nausea diarrhoea muscle pain,Malaria
chills vomiting high fever sweating nausea diarrhoea muscle pain,Malaria
chills vomiting high fever sweating headache diarrhoea muscle pain,Malaria
itching skin rash fatigue lethargy high fever headache loss of appetite mild fever swelled lymph nodes malaise red spots over body,Chicken pox
skin rash fatigue lethargy high fever headache loss of appetite mild fever swelled lymph nodes malaise red spots over body,Chicken pox
itching fatigue lethargy high fever headache loss of appetite mild fever swelled lymph nodes malaise red spots over body,Chicken pox
itching skin rash lethargy high fever headache loss of appetite mild fever swelled lymph nodes malaise red spots over body,Chicken pox
itching skin rash fatigue high fever headache loss of appetite mild fever swelled lymph nodes malaise red spots over body,Chicken pox
itching skin rash fatigue lethargy headache loss of appetite mild fever swelled lymph nodes malaise red spots over body,Chicken pox
itching skin rash fatigue lethargy high fever loss of appetite mild fever swelled lymph nodes malaise red spots over body,Chicken pox
itching skin rash fatigue lethargy high fever headache mild fever swelled lymph nodes malaise red spots over body,Chicken pox
itching skin rash fatigue lethargy high fever headache loss of appetite swelled lymph nodes malaise red spots over body,Chicken pox
itching skin rash fatigue lethargy high fever headache loss of appetite mild fever malaise red spots over body,Chicken pox
skin rash chills joint pain vomiting fatigue high fever headache nausea loss of appetite pain behind the eyes back pain muscle pain red spots over body,Dengue
skin rash chills joint pain vomiting fatigue high fever headache nausea loss of appetite pain behind the eyes back pain malaise red spots over body,Dengue
skin rash chills joint pain vomiting fatigue high fever headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain,Dengue
skin rash chills joint pain vomiting fatigue high fever headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain red spots over body,Dengue
chills joint pain vomiting fatigue high fever headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain red spots over body,Dengue
skin rash joint pain vomiting fatigue high fever headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain red spots over body,Dengue
skin rash chills vomiting fatigue high fever headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain red spots over body,Dengue
skin rash chills joint pain fatigue high fever headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain red spots over body,Dengue
skin rash chills joint pain vomiting high fever headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain red spots over body,Dengue
skin rash chills joint pain vomiting fatigue headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain red spots over body,Dengue
chills vomiting fatigue high fever nausea constipation abdominal pain diarrhoea toxic look (typhos) belly pain,Typhoid
chills vomiting fatigue high fever headache constipation abdominal pain diarrhoea toxic look (typhos) belly pain,Typhoid
chills vomiting fatigue high fever headache nausea abdominal pain diarrhoea toxic look (typhos) belly pain,Typhoid
chills vomiting fatigue high fever headache nausea constipation diarrhoea toxic look (typhos) belly pain,Typhoid
chills vomiting fatigue high fever headache nausea constipation abdominal pain toxic look (typhos) belly pain,Typhoid
chills vomiting fatigue high fever headache nausea constipation abdominal pain diarrhoea belly pain,Typhoid
chills vomiting fatigue high fever headache nausea constipation abdominal pain diarrhoea toxic look (typhos),Typhoid
chills vomiting fatigue high fever headache nausea constipation abdominal pain diarrhoea toxic look (typhos) belly pain,Typhoid
chills fatigue high fever headache nausea constipation abdominal pain diarrhoea toxic look (typhos) belly pain,Typhoid
joint pain vomiting yellowish skin dark urine nausea loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain,hepatitis A
vomiting yellowish skin dark urine nausea loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain,hepatitis A
joint pain yellowish skin dark urine nausea loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain,hepatitis A
joint pain vomiting dark urine nausea loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain,hepatitis A
joint pain vomiting yellowish skin nausea loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain,hepatitis A
joint pain vomiting yellowish skin dark urine loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain,hepatitis A
joint pain vomiting yellowish skin dark urine nausea abdominal pain diarrhoea mild fever yellowing of eyes muscle pain,hepatitis A
joint pain vomiting yellowish skin dark urine nausea loss of appetite diarrhoea mild fever yellowing of eyes muscle pain,hepatitis A
joint pain vomiting yellowish skin dark urine nausea loss of appetite abdominal pain mild fever yellowing of eyes muscle pain,hepatitis A
itching fatigue lethargy yellowish skin dark urine loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,Hepatitis B
fatigue lethargy yellowish skin dark urine loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,Hepatitis B
itching lethargy yellowish skin dark urine loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,Hepatitis B
itching fatigue yellowish skin dark urine loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,Hepatitis B
itching fatigue lethargy dark urine loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,Hepatitis B
itching fatigue lethargy yellowish skin loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,Hepatitis B
itching fatigue lethargy yellowish skin dark urine abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,Hepatitis B
itching fatigue lethargy yellowish skin dark urine loss of appetite yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,Hepatitis B
itching fatigue lethargy yellowish skin dark urine loss of appetite abdominal pain yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,Hepatitis B
fatigue yellowish skin nausea loss of appetite family history,Hepatitis C
fatigue yellowish skin nausea loss of appetite yellowing of eyes family history,Hepatitis C
yellowish skin nausea loss of appetite yellowing of eyes family history,Hepatitis C
fatigue nausea loss of appetite yellowing of eyes family history,Hepatitis C
fatigue yellowish skin loss of appetite yellowing of eyes family history,Hepatitis C
fatigue yellowish skin nausea yellowing of eyes family history,Hepatitis C
fatigue yellowish skin nausea loss of appetite yellowing of eyes,Hepatitis C
joint pain vomiting fatigue yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes,Hepatitis D
vomiting fatigue yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes,Hepatitis D
joint pain fatigue yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes,Hepatitis D
joint pain vomiting yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes,Hepatitis D
joint pain vomiting fatigue dark urine nausea loss of appetite abdominal pain yellowing of eyes,Hepatitis D
joint pain vomiting fatigue yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,Hepatitis D
joint pain vomiting fatigue yellowish skin dark urine loss of appetite abdominal pain yellowing of eyes,Hepatitis D
joint pain vomiting fatigue yellowish skin dark urine nausea abdominal pain yellowing of eyes,Hepatitis D
joint pain vomiting fatigue yellowish skin dark urine nausea loss of appetite yellowing of eyes,Hepatitis D
joint pain vomiting fatigue yellowish skin dark urine nausea loss of appetite abdominal pain,Hepatitis D
joint pain vomiting fatigue high fever yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes coma stomach bleeding,Hepatitis E
joint pain vomiting fatigue high fever yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding,Hepatitis E
vomiting fatigue high fever yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding,Hepatitis E
joint pain fatigue high fever yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding,Hepatitis E
joint pain vomiting high fever yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding,Hepatitis E
joint pain vomiting fatigue yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding,Hepatitis E
joint pain vomiting fatigue high fever dark urine nausea loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding,Hepatitis E
joint pain vomiting fatigue high fever yellowish skin nausea loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding,Hepatitis E
joint pain vomiting fatigue high fever yellowish skin dark urine loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding,Hepatitis E
vomiting yellowish skin abdominal pain swelling of stomach distention of abdomen history of alcohol consumption fluid overload,Alcoholic hepatitis
yellowish skin abdominal pain swelling of stomach distention of abdomen history of alcohol consumption fluid overload,Alcoholic hepatitis
vomiting abdominal pain swelling of stomach distention of abdomen history of alcohol consumption fluid overload,Alcoholic hepatitis
vomiting yellowish skin swelling of stomach distention of abdomen history of alcohol consumption fluid overload,Alcoholic hepatitis
vomiting yellowish skin abdominal pain distention of abdomen history of alcohol consumption fluid overload,Alcoholic hepatitis
vomiting yellowish skin abdominal pain swelling of stomach history of alcohol consumption fluid overload,Alcoholic hepatitis
vomiting yellowish skin abdominal pain swelling of stomach distention of abdomen fluid overload,Alcoholic hepatitis
vomiting yellowish skin abdominal pain swelling of stomach distention of abdomen history of alcohol consumption,Alcoholic hepatitis
chills vomiting fatigue weight loss cough high fever breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,Tuberculosis
vomiting fatigue weight loss cough high fever breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,Tuberculosis
chills fatigue weight loss cough high fever breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,Tuberculosis
chills vomiting weight loss cough high fever breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,Tuberculosis
chills vomiting fatigue cough high fever breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,Tuberculosis
chills vomiting fatigue weight loss high fever breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,Tuberculosis
chills vomiting fatigue weight loss cough breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,Tuberculosis
chills vomiting fatigue weight loss cough high fever sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,Tuberculosis
chills vomiting fatigue weight loss cough high fever breathlessness loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,Tuberculosis
continuous sneezing chills fatigue cough high fever headache swelled lymph nodes malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain,Common Cold
chills fatigue cough high fever headache swelled lymph nodes malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain,Common Cold
continuous sneezing fatigue cough high fever headache swelled lymph nodes malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain,Common Cold
continuous sneezing chills cough high fever headache swelled lymph nodes malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain,Common Cold
continuous sneezing chills fatigue high fever headache swelled lymph nodes malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain,Common Cold
continuous sneezing chills fatigue cough headache swelled lymph nodes malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain,Common Cold
continuous sneezing chills fatigue cough high fever swelled lymph nodes malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain,Common Cold
continuous sneezing chills fatigue cough high fever headache malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain,Common Cold
continuous sneezing chills fatigue cough high fever headache swelled lymph nodes phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain,Common Cold
chills fatigue cough high fever breathlessness sweating malaise chest pain fast heart rate rusty sputum,Pneumonia
chills fatigue cough high fever breathlessness sweating malaise phlegm chest pain fast heart rate rusty sputum,Pneumonia
fatigue cough high fever breathlessness sweating malaise phlegm chest pain fast heart rate rusty sputum,Pneumonia
chills cough high fever breathlessness sweating malaise phlegm chest pain fast heart rate rusty sputum,Pneumonia
chills fatigue high fever breathlessness sweating malaise phlegm chest pain fast heart rate rusty sputum,Pneumonia
chills fatigue cough breathlessness sweating malaise phlegm chest pain fast heart rate rusty sputum,Pneumonia
chills fatigue cough high fever sweating malaise phlegm chest pain fast heart rate rusty sputum,Pneumonia
chills fatigue cough high fever breathlessness malaise phlegm chest pain fast heart rate rusty sputum,Pneumonia
chills fatigue cough high fever breathlessness sweating phlegm chest pain fast heart rate rusty sputum,Pneumonia
constipation pain during bowel movements pain in anal region bloody stool irritation in anus,Dimorphic hemmorhoids(piles)
pain during bowel movements pain in anal region bloody stool irritation in anus,Dimorphic hemmorhoids(piles)
constipation pain in anal region bloody stool irritation in anus,Dimorphic hemmorhoids(piles)
constipation pain during bowel movements bloody stool irritation in anus,Dimorphic hemmorhoids(piles)
constipation pain during bowel movements pain in anal region irritation in anus,Dimorphic hemmorhoids(piles)
constipation pain during bowel movements pain in anal region bloody stool,Dimorphic hemmorhoids(piles)
vomiting breathlessness sweating chest pain,Heart attack
breathlessness sweating chest pain,Heart attack
vomiting sweating chest pain,Heart attack
vomiting breathlessness chest pain,Heart attack
vomiting breathlessness sweating,Heart attack
fatigue cramps bruising obesity swollen legs swollen blood vessels prominent veins on calf,Varicose veins
cramps bruising obesity swollen legs swollen blood vessels prominent veins on calf,Varicose veins
fatigue bruising obesity swollen legs swollen blood vessels prominent veins on calf,Varicose veins
fatigue cramps obesity swollen legs swollen blood vessels prominent veins on calf,Varicose veins
fatigue cramps bruising swollen legs swollen blood vessels prominent veins on calf,Varicose veins
fatigue cramps bruising obesity swollen blood vessels prominent veins on calf,Varicose veins
fatigue cramps bruising obesity swollen legs prominent veins on calf,Varicose veins
fatigue cramps bruising obesity swollen legs swollen blood vessels,Varicose veins
fatigue weight gain cold hands and feets mood swings lethargy dizziness puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation,Hypothyroidism
weight gain cold hands and feets mood swings lethargy dizziness puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation,Hypothyroidism
fatigue cold hands and feets mood swings lethargy dizziness puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation,Hypothyroidism
fatigue weight gain mood swings lethargy dizziness puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation,Hypothyroidism
fatigue weight gain cold hands and feets lethargy dizziness puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation,Hypothyroidism
fatigue weight gain cold hands and feets mood swings dizziness puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation,Hypothyroidism
fatigue weight gain cold hands and feets mood swings lethargy puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation,Hypothyroidism
fatigue weight gain cold hands and feets mood swings lethargy dizziness enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation,Hypothyroidism
fatigue mood swings weight loss restlessness sweating diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation,Hyperthyroidism
mood swings weight loss restlessness sweating diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation,Hyperthyroidism
fatigue weight loss restlessness sweating diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation,Hyperthyroidism
fatigue mood swings restlessness sweating diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation,Hyperthyroidism
fatigue mood swings weight loss sweating diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation,Hyperthyroidism
fatigue mood swings weight loss restlessness diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation,Hyperthyroidism
fatigue mood swings weight loss restlessness sweating fast heart rate excessive hunger muscle weakness irritability abnormal menstruation,Hyperthyroidism
fatigue mood swings weight loss restlessness sweating diarrhoea excessive hunger muscle weakness irritability abnormal menstruation,Hyperthyroidism
fatigue mood swings weight loss restlessness sweating diarrhoea fast heart rate muscle weakness irritability abnormal menstruation,Hyperthyroidism
vomiting fatigue anxiety sweating headache nausea blurred and distorted vision excessive hunger slurred speech irritability palpitations,Hypoglycemia
vomiting fatigue anxiety sweating headache nausea blurred and distorted vision excessive hunger drying and tingling lips slurred speech irritability palpitations,Hypoglycemia
fatigue anxiety sweating headache nausea blurred and distorted vision excessive hunger drying and tingling lips slurred speech irritability palpitations,Hypoglycemia
vomiting anxiety sweating headache nausea blurred and distorted vision excessive hunger drying and tingling lips slurred speech irritability palpitations,Hypoglycemia
vomiting fatigue sweating headache nausea blurred and distorted vision excessive hunger drying and tingling lips slurred speech irritability palpitations,Hypoglycemia
vomiting fatigue anxiety headache nausea blurred and distorted vision excessive hunger drying and tingling lips slurred speech irritability palpitations,Hypoglycemia
vomiting fatigue anxiety sweating nausea blurred and distorted vision excessive hunger drying and tingling lips slurred speech irritability palpitations,Hypoglycemia
vomiting fatigue anxiety sweating headache blurred and distorted vision excessive hunger drying and tingling lips slurred speech irritability palpitations,Hypoglycemia
vomiting fatigue anxiety sweating headache nausea excessive hunger drying and tingling lips slurred speech irritability palpitations,Hypoglycemia
joint pain neck pain knee pain hip joint pain swelling joints painful walking,Osteoarthristis
neck pain knee pain hip joint pain swelling joints painful walking,Osteoarthristis
joint pain knee pain hip joint pain swelling joints painful walking,Osteoarthristis
joint pain neck pain hip joint pain swelling joints painful walking,Osteoarthristis
joint pain neck pain knee pain swelling joints painful walking,Osteoarthristis
joint pain neck pain knee pain hip joint pain painful walking,Osteoarthristis
joint pain neck pain knee pain hip joint pain swelling joints,Osteoarthristis
muscle weakness stiff neck swelling joints movement stiffness painful walking,Arthritis
stiff neck swelling joints movement stiffness painful walking,Arthritis
muscle weakness swelling joints movement stiffness painful walking,Arthritis
muscle weakness stiff neck movement stiffness painful walking,Arthritis
muscle weakness stiff neck swelling joints painful walking,Arthritis
muscle weakness stiff neck swelling joints movement stiffness,Arthritis
vomiting headache nausea spinning movements loss of balance unsteadiness,(vertigo) Paroymsal  Positional Vertigo
headache nausea spinning movements loss of balance unsteadiness,(vertigo) Paroymsal  Positional Vertigo
vomiting nausea spinning movements loss of balance unsteadiness,(vertigo) Paroymsal  Positional Vertigo
vomiting headache spinning movements loss of balance unsteadiness,(vertigo) Paroymsal  Positional Vertigo
vomiting headache nausea loss of balance unsteadiness,(vertigo) Paroymsal  Positional Vertigo
vomiting headache nausea spinning movements unsteadiness,(vertigo) Paroymsal  Positional Vertigo
vomiting headache nausea spinning movements loss of balance,(vertigo) Paroymsal  Positional Vertigo
skin rash pus filled pimples blackheads scurring,Acne
pus filled pimples blackheads scurring,Acne
skin rash blackheads scurring,Acne
skin rash pus filled pimples scurring,Acne
skin rash pus filled pimples blackheads,Acne
burning micturition bladder discomfort foul smell of urine continuous feel of urine,Urinary tract infection
bladder discomfort foul smell of urine continuous feel of urine,Urinary tract infection
burning micturition foul smell of urine continuous feel of urine,Urinary tract infection
burning micturition bladder discomfort continuous feel of urine,Urinary tract infection
burning micturition bladder discomfort foul smell of urine,Urinary tract infection
skin rash joint pain skin peeling silver like dusting small dents in nails inflammatory nails,Psoriasis
joint pain skin peeling silver like dusting small dents in nails inflammatory nails,Psoriasis
skin rash skin peeling silver like dusting small dents in nails inflammatory nails,Psoriasis
skin rash joint pain silver like dusting small dents in nails inflammatory nails,Psoriasis
skin rash joint pain skin peeling small dents in nails inflammatory nails,Psoriasis
skin rash joint pain skin peeling silver like dusting inflammatory nails,Psoriasis
skin rash joint pain skin peeling silver like dusting small dents in nails,Psoriasis
skin rash high fever blister red sore around nose yellow crust ooze,Impetigo
high fever blister red sore around nose yellow crust ooze,Impetigo
skin rash blister red sore around nose yellow crust ooze,Impetigo
skin rash high fever red sore around nose yellow crust ooze,Impetigo
skin rash high fever blister yellow crust ooze,Impetigo
skin rash high fever blister red sore around nose,Impetigo
